day,max,min,year
"Sun 1/1,Sun 1/8,Sun 1/15,Sun 1/22,Sun 1/29","30,30,29,31,31","11,10,14,13,12",2017
"Mon 1/2,Mon 1/9,Mon 1/16,Mon 1/23,Mon 1/30","31,29,29,32,32","11,11,15,13,12",2017
"Tue 1/3,Tue 1/10,Tue 1/17,Tue 1/24,Tue 1/31","28,30,30,30,33","9,9,15,13,12",2017
"Wed 1/4,Wed 1/11,Wed 1/18,Wed 1/25,Wed 2/1","29,29,29,31,32","9,8,14,13,13",2017
"Thu 1/5,Thu 1/12,Thu 1/19,Thu 1/26,Thu 2/2","30,27,28,32,33","8,7,12,13,14",2017
"Fri 1/6,Fri 1/13,Fri 1/20,Fri 1/27,Fri 2/3","30,28,27,31,33","9,9,12,13,14",2017
"Sat 1/7,Sat 1/14,Sat 1/21,Sat 1/28,Sat 2/4","29,29,31,30,32","8,11,11,12,16",2017
"Sun 1/29,Sun 2/5,Sun 2/12,Sun 2/19,Sun 2/26","31,32,32,35,35","12,15,12,13,12",February 2017 
"Mon 1/30,Mon 2/6,Mon 2/13,Mon 2/20,Mon 2/27","32,33,32,36,35","12,14,14,14,12",February 2017 
"Tue 1/31,Tue 2/7,Tue 2/14,Tue 2/21,Tue 2/28","33,32,32,34,35","12,13,14,12,13",February 2017 
"Wed 2/1,Wed 2/8,Wed 2/15,Wed 2/22,Wed 3/1","32,33,32,36,36","13,14,15,13,13",February 2017 
"Thu 2/2,Thu 2/9,Thu 2/16,Thu 2/23,Thu 3/2","33,33,31,37,35","14,15,14,14,15",February 2017 
"Fri 2/3,Fri 2/10,Fri 2/17,Fri 2/24,Fri 3/3","33,33,32,37,35","14,14,14,14,16",February 2017 
"Sat 2/4,Sat 2/11,Sat 2/18,Sat 2/25,Sat 3/4","32,31,33,34,35","16,14,13,13,13",February 2017 
"Sun 2/26,Sun 3/5,Sun 3/12,Sun 3/19,Sun 3/26","35,34,32,35,39","12,12,10,16,21",March 2017 
"Mon 2/27,Mon 3/6,Mon 3/13,Mon 3/20,Mon 3/27","35,35,34,36,40","12,13,11,15,19",March 2017 
"Tue 2/28,Tue 3/7,Tue 3/14,Tue 3/21,Tue 3/28","35,34,35,36,40","13,12,13,15,17",March 2017 
"Wed 3/1,Wed 3/8,Wed 3/15,Wed 3/22,Wed 3/29","36,33,35,37,40","13,14,15,16,23",March 2017 
